sfla,BuildingType,LocationType
2703.0,Single Family Home,Out of State
2086.0,Apartment/Condo/Townhome,In-County
808.0,Apartment/Condo/Townhome,In-County
2286.0,Single Family Home,In-County
59677.0,Apartment/Condo/Townhome,In-State (Out of County)
4145.0,Single Family Home,Out of State
2860.0,Single Family Home,Out of State
3284.0,Single Family Home,Out of State
1236.0,Single Family Home,In-State (Out of County)
2907.0,Single Family Home,In-County
1110.0,Single Family Home,In-State (Out of County)
700.0,Apartment/Condo/Townhome,Out of State
1562.0,Single Family Home,In-State (Out of County)
1512.0,Single Family Home,Out of State
915.0,Single Family Home,In-State (Out of County)
2137.0,Single Family Home,In-State (Out of County)
3393.0,Single Family Home,In-County
4674.0,Single Family Home,In-State (Out of County)
5330.0,Single Family Home,Out of State
3125.0,Single Family Home,Out of State
3491.0,Single Family Home,Out of State
1352.0,Single Family Home,In-County
3213.0,Single Family Home,In-County
2011.0,Single Family Home,In-State (Out of County)
2112.0,Single Family Home,In-County
5233.0,Single Family Home,In-County
2469.0,Single Family Home,In-State (Out of County)
6241.0,Single Family Home,In-County
4900.0,Single Family Home,Out of State
2692.0,Single Family Home,In-County
1683.0,Single Family Home,Out of State
1955.0,Single Family Home,In-County
3039.0,Single Family Home,In-State (Out of County)
1980.0,Single Family Home,In-County
1424.0,Single Family Home,In-State (Out of County)
936.0,Single Family Home,Out of State
1926.0,Single Family Home,In-State (Out of County)
2130.0,Single Family Home,In-County
4220.0,Single Family Home,In-State (Out of County)
3216.0,Single Family Home,In-State (Out of County)
1434.0,Single Family Home,Out of State
1862.0,Single Family Home,In-State (Out of County)
1988.0,Single Family Home,In-County
3011.0,Single Family Home,In-County
4865.0,Single Family Home,Out of State
2431.0,Single Family Home,Out of State
2164.0,Single Family Home,Out of State
3057.0,Single Family Home,In-County
3181.0,Single Family Home,Out of State
3484.0,Single Family Home,In-State (Out of County)
2536.0,Single Family Home,Out of State
1168.0,Apartment/Condo/Townhome,In-County
1058.0,Apartment/Condo/Townhome,In-County
1980.0,Single Family Home,In-County
2675.0,Single Family Home,In-State (Out of County)
1212.0,Single Family Home,In-State (Out of County)
2258.0,Single Family Home,Out of State
1058.0,Apartment/Condo/Townhome,Out of State
1288.0,Single Family Home,In-State (Out of County)
3194.0,Single Family Home,Out of State
1662.0,Single Family Home,Out of State
1943.0,Single Family Home,In-County
2205.0,Single Family Home,Out of State
2308.0,Single Family Home,Out of State
1630.0,Single Family Home,In-County
2920.0,Single Family Home,In-County
2750.0,Single Family Home,In-State (Out of County)
7671.0,Single Family Home,In-County
2283.0,Single Family Home,In-County
1057.0,Single Family Home,Out of State
1836.0,Single Family Home,In-State (Out of County)
2968.0,Single Family Home,In-State (Out of County)
1058.0,Apartment/Condo/Townhome,In-County
1058.0,Apartment/Condo/Townhome,In-County
1856.0,Single Family Home,In-State (Out of County)
3088.0,Single Family Home,In-State (Out of County)
2899.0,Single Family Home,In-State (Out of County)
4196.0,Single Family Home,In-County
2592.0,Single Family Home,In-County
1849.0,Single Family Home,Out of State
1456.0,Single Family Home,In-County
1414.0,Single Family Home,In-County
2988.0,Single Family Home,In-State (Out of County)
4792.0,Single Family Home,Out of State
2877.0,Single Family Home,In-County
2106.0,Single Family Home,In-County
4393.0,Single Family Home,In-County
2805.0,Single Family Home,Out of State
1984.0,Single Family Home,Out of State
2728.0,Single Family Home,Out of State
1168.0,Apartment/Condo/Townhome,In-County
2646.0,Single Family Home,Out of State
4446.0,Single Family Home,Out of State
2871.0,Single Family Home,Out of State
1180.0,Single Family Home,In-County
1318.0,Single Family Home,In-County
2552.0,Single Family Home,In-County
2628.0,Single Family Home,In-County
2578.0,Single Family Home,In-County
3329.0,Single Family Home,In-County
2318.0,Single Family Home,In-County
1664.0,Single Family Home,In-County
1092.0,Single Family Home,In-State (Out of County)
1125.0,Single Family Home,In-State (Out of County)
21780.0,Apartment/Condo/Townhome,In-County
1684.0,Single Family Home,In-County
33541.0,Apartment/Condo/Townhome,Out of State
3091.0,Single Family Home,In-County
2184.0,Single Family Home,In-State (Out of County)
4075.0,Single Family Home,Out of State
3496.0,Single Family Home,Out of State
1920.0,Single Family Home,In-County
2220.0,Single Family Home,In-County
4199.0,Single Family Home,In-State (Out of County)
3186.0,Single Family Home,In-County
2088.0,Single Family Home,In-County
3174.0,Single Family Home,In-State (Out of County)
2531.0,Single Family Home,Out of State
3064.0,Single Family Home,In-County
2889.0,Single Family Home,In-County
3007.0,Single Family Home,In-County
2238.0,Single Family Home,In-State (Out of County)
3411.0,Single Family Home,In-County
2216.0,Single Family Home,In-State (Out of County)
2976.0,Single Family Home,In-County
3062.0,Single Family Home,In-State (Out of County)
3323.0,Single Family Home,In-County
2730.0,Single Family Home,In-County
4288.0,Single Family Home,Out of State
3696.0,Single Family Home,In-State (Out of County)
2160.0,Single Family Home,In-State (Out of County)
2652.0,Single Family Home,Out of State
2996.0,Single Family Home,Out of State
2566.0,Single Family Home,Out of State
2416.0,Single Family Home,In-County
2304.0,Single Family Home,In-County
2370.0,Single Family Home,In-County
2305.0,Single Family Home,In-County
1248.0,Single Family Home,In-State (Out of County)
2232.0,Single Family Home,In-County
2212.0,Single Family Home,In-County
3092.0,Single Family Home,In-State (Out of County)
2360.0,Single Family Home,In-County
736.0,Single Family Home,Out of State
2476.0,Single Family Home,In-County
1124.0,Single Family Home,In-County
2101.0,Single Family Home,In-State (Out of County)
3588.0,Single Family Home,In-County
1920.0,Single Family Home,In-County
1708.0,Single Family Home,Out of State
2398.0,Single Family Home,In-County
4068.0,Single Family Home,Out of State
1992.0,Single Family Home,Out of State
2529.0,Single Family Home,In-State (Out of County)
2030.0,Single Family Home,In-State (Out of County)
1058.0,Apartment/Condo/Townhome,In-State (Out of County)
3031.0,Single Family Home,Out of State
2210.0,Single Family Home,Out of State
2646.0,Single Family Home,In-State (Out of County)
